"distance_km","timestamp_utc","latitude","longitude","frame"
"1.6","2026-09-03T18:29:09-06:00","38.79617","-105.21717","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.77N/10513.03Wj340/028/A=008963BAKSTAAJ-J 14.62V"
"1.6","2026-09-03T21:13:51-06:00","38.7985","-105.21883","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.91N/10513.13Wj119/032/A=008851N0JCG 444.440 MHz 14.40V"
"1.7","2026-09-02T15:01:59-06:00","38.786","-105.2045","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.16N/10512.27Wj074/009/A=008831BAKSTAAJ-J 14.44V"
"1.7","2026-09-02T15:03:22-06:00","38.786","-105.20433","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.16N/10512.26Wj234/006/A=008851BAKSTAAJ-J 14.41V"
"1.7","2026-09-03T18:23:06-06:00","38.78617","-105.20567","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.17N/10512.34Wj144/004/A=008848BAKSTAAJ-J 14.41V"
"1.7","2026-09-03T18:23:36-06:00","38.78583","-105.20433","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.15N/10512.26Wj071/014/A=008848BAKSTAAJ-J 14.53V"
"1.7","2026-09-03T18:24:06-06:00","38.786","-105.20383","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.16N/10512.23Wj100/000/A=008851BAKSTAAJ-J 14.40V"
"1.7","2026-09-03T18:24:36-06:00","38.78617","-105.20367","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.17N/10512.22Wj360/000/A=008822BAKSTAAJ-J 14.34V"
"1.7","2026-09-03T18:25:06-06:00","38.786","-105.20417","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.16N/10512.25Wj273/014/A=008818BAKSTAAJ-J 14.41V"
"1.7","2026-09-03T18:27:39-06:00","38.7865","-105.2065","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.19N/10512.39Wj316/016/A=008825BAKSTAAJ-J 14.46V"
"1.8","2026-09-02T15:30:15-06:00","38.78483","-105.2045","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.09N/10512.27Wj067/031/A=009123BAKSTAAJ-J 14.63V"
